inquiry,committee,report,response
Migration (Validation of Port Appointment) Bill 2018,Legal and Constitutional Affairs Legislation Committee,Report tabled: 12/9/2018,Response tabled: 14/5/2024
"Migration Amendment (Australia’s Engagement in the Pacific and Other Measures) Bill 2023, and the Migration (Visa Pre-application Process) Charge Bill 2023",Legal and Constitutional Affairs Legislation Committee,Report tabled: 13/6/2023,"Response presented: 19/12/2024
Response tabled: 4/2/2025"
Migration Amendment (Clarification of Jurisdiction) Bill 2018,Legal and Constitutional Affairs Legislation Committee,"Report
Report presented: 5/6/2018
Report tabled: 18/6/2018
Dissenting report from Opposition senators
Report presented: 6/6/2018
Report tabled: 18/6/2018","Report
Response presented: 9/5/2024
Response tabled: 14/5/2024"
Migration Amendment (Evacuation to Safety) Bill 2023,Legal and Constitutional Affairs Legislation Committee,Report tabled: 7/3/2023,"Response presented: 18/1/2024
Response tabled: 6/2/2024"
Migration Amendment (Overseas Organ Transplant Disclosure and Other Measures) Bill 2023,"Foreign Affairs, Defence and Trade Legislation Committee",Report tabled: 14/5/2024,"Response presented: 19/12/2024
Response tabled: 4/2/2025"
Migration Amendment (Prohibiting Items in Immigration Detention Facilities) Bill 2017,Legal and Constitutional Affairs Legislation Committee,Report tabled: 16/11/2017,"Response presented: 17/5/2024
Response tabled: 24/6/2024"
Migration Amendment (Prohibiting Items in Immigration Detention Facilities) Bill 2020,Legal and Constitutional Affairs Legislation Committee,"Report presented: 5/8/2020
Report tabled: 24/8/2020","Response presented: 17/5/2024
Response tabled: 24/6/2024"
Migration Amendment (Strengthening the Character Test) Bill 2021,Legal and Constitutional Affairs Legislation Committee,"Report presented: 28/1/2022
Report tabled: 8/2/2022","Response presented: 9/5/2024
Response tabled: 14/5/2024"
Migration and Citizenship Legislation Amendment (Strengthening Information Provisions) Bill 2020,Legal and Constitutional Affairs Legislation Committee,"Report presented: 10/3/2021
Report tabled: 15/3/2021","Response presented: 9/5/2024
Response tabled: 14/5/2024"
Migration and Maritime Powers Legislation Amendment (Resolving the Asylum Legacy Caseload) Bill 2014,Legal and Constitutional Affairs Legislation Committee,Report tabled: 24/11/2014,"Response presented: 9/5/2024
Response tabled: 14/5/2024"
Missing and murdered First Nations women and children,Legal and Constitutional Affairs References Committee,Report tabled: 15/8/2024,Response tabled: 25/11/2024
Multi-Jurisdictional Management and Execution of the Murray Darling Basin Plan,Select Committee on the Multi-Jurisdictional Management and Execution of the Murray Darling Basin Plan,"Final report and report on Constitution Alteration (Water Resources) 2019
Report presented: 30/9/2021
Report tabled: 18/10/2021","Response presented: 23/5/2024
Response tabled: 24/6/2024"
National Consumer Credit Protection Amendment (Mandatory Comprehensive Credit Reporting) Bill 2018 [Provisions],Economics Legislation Committee,"Report presented: 5/6/2018
Report tabled: 18/6/2018",Response tabled: 13/8/2024
National Consumer Credit Protection Amendment (Small Amount Credit Contract and Consumer Lease Reforms) Bill 2019 (No. 2),Economics Legislation Committee,"Report presented: 21/9/2020
Report tabled: 6/10/2020",Response tabled: 13/8/2024
National Emergency (2022 New South Wales Floods) Declaration 2022,Legal and Constitutional Affairs Legislation Committee,Report tabled: 8/2/2023,Response tabled: 19/11/2024
National Emergency Declaration Act 2020,Legal and Constitutional Affairs Legislation Committee,"Report presented: 30/6/2021
Report tabled: 3/8/2021","Response presented: 9/5/2024
Response tabled: 14/5/2024"
National trend of school refusal and related matters,Education and Employment References Committee,Report tabled: 10/8/2023,"Response presented: 11/4/2024
Response tabled: 14/5/2024"
"Nationhood, national identity and democracy",Legal and Constitutional Affairs References Committee,Report tabled: 16/2/2021,"Response presented: 17/5/2024
Response tabled: 24/6/2024"
NDIS Workforce,Joint Standing Committee on the National Disability Insurance Scheme,"Interim report
Report tabled: 10/12/2020
Final report
Report tabled: 29/3/2022","Interim report
Response presented: 7/10/2021
Response tabled: 18/10/2021
Final report
Response tabled: 25/6/2024"
Net Zero Economy Authority Bill 2024 [Provisions] and the Net Zero Economy Authority (Transitional Provisions) Bill 2024 [Provisions],Finance and Public Administration Legislation Committee,"Report presented: 13/5/2024
Report tabled: 14/5/2024",Response tabled: 19/11/2024
New Skilled Regional Visas (Consequential Amendments) Bill 2019,Legal and Constitutional Affairs Legislation Committee,"Report presented: 11/10/2019
Report tabled: 14/10/2019","Response presented: 9/5/2024
Response tabled: 14/5/2024"
Obesity Epidemic in Australia,Select Committee into the obesity epidemic in Australia,Report tabled: 5/12/2018,"Response presented: 3/10/2024
Response tabled: 8/10/2024"
Offshore Petroleum (Laminaria and Corallina Decommissioning Cost Recovery Levy) Bill 2021 [Provisions] and Treasury Laws Amendment (Laminaria and Corallina Decommissioning Cost Recovery Levy) Bill 2021 [Provisions],Economics Legislation Committee,"Report presented: 18/11/2021
Report tabled: 22/11/2021",Response tabled: 13/8/2024
Offshore Petroleum and Greenhouse Gas Storage Amendment (Benefit to Australia) Bill 2020,Economics Legislation Committee,"Report presented: 30/6/2021
Report tabled: 3/8/2021","Response presented: 25/1/2024
Response tabled: 6/2/2024"
Operations of existing and proposed toll roads in Australia,Economics References Committee,"Toll roads: issues of building, financing and charging
Report tabled: 14/9/2017","Response presented: 7/6/2024
Response tabled: 24/6/2024"
Opportunities for advancing Australia’s strategic interests through existing regional architecture,"Foreign Affairs, Defence and Trade References Committee","Report presented: 7/10/2021
Report tabled: 18/10/2021","Response presented: 3/10/2024
Response tabled: 8/10/2024"
Opportunities for strengthening Australia’s relations with the Republic of France,"Foreign Affairs, Defence and Trade References Committee",Report tabled: 27/8/2020,"Response presented: 7/6/2024
Response tabled: 24/6/2024"
Options for greater involvement by private sector life insurers in worker rehabilitation,Parliamentary Joint Committee on Corporations and Financial Services,Report tabled: 14/2/2019,Response tabled: 13/8/2024
Out-of-pocket costs in Australian healthcare,Community Affairs References Committee,"Report presented: 22/8/2014
Report tabled: 26/8/2014","Response presented: 3/10/2024
Response tabled: 8/10/2024"
"Oversight of ASIC, the Takeovers Panel and the Corporations Legislation No.1 of the 45th Parliament",Parliamentary Joint Committee on Corporations and Financial Services,Report tabled: 2/4/2019,Response tabled: 13/8/2024
ParentsNext: examination of Social Security (Parenting payment participation requirements - class of persons) instrument 2021,Parliamentary Joint Committee on Human Rights,Report tabled: 5/8/2021,"Response presented: 10/5/2024
Response tabled: 14/5/2024"
Participation of Australians in online poker,Environment and Communications References Committee,Report tabled: 18/10/2017,Response tabled: 14/5/2024
Performance of the Inspector-General of Taxation,Economics Legislation Committee,Report tabled: 17/6/2020,Response tabled: 13/8/2024
Perth Mint and Commonwealth regulatory compliance,Select Committee on the Perth Mint and Commonwealth regulatory compliance,"Interim report
Report presented: 20/12/2023
Report tabled: 6/2/2024
Final report
Report presented: 21/6/2024
Report tabled: 24/6/2024","Final report
Response tabled: 19/9/2024"
Plebiscite for an Australian Republic Bill 2008,Finance and Public Administration Legislation Committee,Report tabled: 15/6/2009,"Response presented: 20/6/2024
Response tabled: 24/6/2024"
Policy and process to limit and reduce red tape,Red Tape Committee,"Final report
Report tabled: 3/12/2018","Response presented: 20/6/2024
Response tabled: 24/6/2024"
"Policy, regulatory, taxation, administrative and funding priorities for Australian shipping",Rural and Regional Affairs and Transport References Committee,"Report presented: 15/12/2020
Report tabled: 2/2/2021","Response presented: 7/6/2024
Response tabled: 24/6/2024"
Primary Industries (Excise) Levies Bill 2023 [Provisions] and related bills,Rural and Regional Affairs and Transport Legislation Committee,"Report presented: 5/2/2024
Report tabled: 6/2/2024","Response presented: 17/5/2024
Response tabled: 24/6/2024"
Project known as the Iron Boomerang,Rural and Regional Affairs and Transport References Committee,Report tabled: 10/8/2023,Response tabled: 26/11/2024
Provision of and access to dental services in Australia,Select Committee into the Provision of and Access to Dental Services in Australia,"Interim report
Report tabled: 20/6/2023
A system in decay: A review into dental services in Australia
Report tabled: 30/11/2023","Final report
Response presented: 18/7/2024
Response tabled: 12/8/2024"
"Provision of general practitioner and related primary health services to outer metropolitan, rural, and regional Australians",Community Affairs References Committee,"Interim report
Report presented: 1/4/2022
Report tabled: 26/7/2022
Final report
Report presented: 20/6/2022
Report tabled: 26/7/2022","Response presented: 14/11/2024
Response tabled: 18/11/2024"
Prudential regulation of investment in Australia’s export industries,Joint Standing Committee on Trade and Investment Growth,Report tabled: 29/3/2022,Response tabled: 13/8/2024
"Public Governance, Performance and Accountability Amendment (Tax Transparency in Procurement and Grants) Bill 2019",Finance and Public Administration Legislation Committee,"Report presented: 4/9/2020
Report tabled: 6/10/2020","Response presented: 9/5/2024
Response tabled: 14/5/2024"
"Purpose, intent and adequacy of the Disability Support Pension",Community Affairs References Committee,"Report presented: 18/2/2022
Report tabled: 28/3/2022","Response presented: 3/10/2024
Response tabled: 8/10/2024"
Red Imported Fire Ants in Australia,Rural and Regional Affairs and Transport References Committee,"Don't let this come back to bite us
Report presented: 18/4/2024
Report tabled: 14/5/2024","Response presented: 28/10/2024
Response tabled: 18/11/2024"
Regional Inequality in Australia,Economics References Committee,"Inquiry into the indicators of, and impact of, regional inequality in Australia
Report tabled: 3/12/2020","Response presented: 7/6/2024
Response tabled: 24/6/2024"
Regulation of auditing in Australia,Parliamentary Joint Committee on Corporations and Financial Services,"Interim report
Report tabled: 27/2/2020
Final report
Report tabled: 11/11/2020","Interim report
Response tabled: 13/8/2024
Final report
Response tabled: 13/8/2024"
Rehabilitation of mining and resources projects as it relates to Commonwealth responsibilities,Environment and Communications References Committee,"Rehabilitation of mining and resources projects and power station ash dams as it relates to Commonwealth responsibilities
Report presented: 20/3/2019
Report tabled: 2/4/2019","Response presented: 23/5/2024
Response tabled: 24/6/2024"
Resilience of Electricity Infrastructure in a Warming World,Select Committee into the Resilience of Electricity Infrastructure in a Warming World,"Stability and Affordability: Forging a path to Australia's renewable energy future
Report presented: 7/4/2017
Report tabled: 9/5/2017","Response presented: 2/5/2024
Response tabled: 14/5/2024"
Resolution of disputes with financial service providers within the justice system,Legal and Constitutional Affairs References Committee,"Report presented: 8/4/2019
Report tabled: 2/7/2019",Response tabled: 13/8/2024
Retirement of coal fired power stations,Environment and Communications References Committee,"Interim report
Report tabled: 28/11/2016
Final report
Report tabled: 29/3/2017","Interim report
Response presented: 2/5/2024
Response tabled: 14/5/2024
Final report
Response presented: 2/5/2024
Response tabled: 14/5/2024"
Review of Administration and Expenditure No. 21 (2021–22) – Australian Intelligence Agencies,Parliamentary Joint Committee on Intelligence and Security,Report tabled: 27/6/2024,Response tabled: 9/10/2024
Review of legislative instruments made under Part 3AA or Part 3B of the Social Security (Administration) Act 1999 – Review 1,Community Affairs References Committee,Report tabled: 8/2/2024,"Response presented: 2/5/2024
Response tabled: 14/5/2024"
Review of Part 14 of the Telecommunications Act 1997 – Telecommunications Sector Security Reforms,Parliamentary Joint Committee on Intelligence and Security,Report tabled: 9/2/2022,Response tabled: 14/5/2024
Review of the amendments made by the Australian Citizenship Amendment (Citizenship Repudiation) Bill 2023,Parliamentary Joint Committee on Intelligence and Security,"Advisory report - Amendments made by the Australian Citizenship Amendment (Citizenship Repudiation) Bill 2023: Also reporting on review of Subdivision C of Division 3 of Part 2 of the Australian Citizenship Act (citizenship cessation determinations)
Report tabled: 21/3/2024","Response presented: 26/9/2024
Response tabled: 8/10/2024"
Review of the Australian Security Intelligence Organisation Amendment Bill 2023,Parliamentary Joint Committee on Intelligence and Security,"Advisory report
Report tabled: 13/6/2023","Response presented: 26/4/2024
Response tabled: 14/5/2024"
Review of the Counter-Terrorism Legislation Amendment (Declared Areas) Bill 2024,Parliamentary Joint Committee on Intelligence and Security,"Advisory report
Report tabled: 13/8/2024",Response tabled: 10/10/2024
Review of the Crimes and Other Legislation Amendment (Omnibus No. 1) Bill 2024,Parliamentary Joint Committee on Intelligence and Security,"Advisory report
Report tabled: 13/8/2024",Response tabled: 9/10/2024
Review of the Cyber Security Legislative Package 2024,Parliamentary Joint Committee on Intelligence and Security,"Advisory report
Report tabled: 18/11/2024","Response presented: 19/12/2024
Response tabled: 4/2/2025"
Review of the Foreign Influence Transparency Scheme Act 2018,Parliamentary Joint Committee on Intelligence and Security,Report tabled: 14/5/2024,Response tabled: 27/6/2024
Review of the National Security Legislation Amendment (Comprehensive Review and Other Measures No. 3) Bill 2023,Parliamentary Joint Committee on Intelligence and Security,"Advisory report
Report tabled: 21/3/2024",Response tabled: 14/5/2024
Review of the Security Legislation Amendment (Critical Infrastructure Protection) Bill 2022,Parliamentary Joint Committee on Intelligence and Security,"Report presented: 25/3/2022
Report tabled: 28/3/2022",Response tabled: 14/5/2024
Review of the Security Legislation Amendment (Critical Infrastructure) Bill 2020 and Statutory Review of the Security of Critical Infrastructure Act 2018,Parliamentary Joint Committee on Intelligence and Security,"Advisory report
Report presented: 29/9/2021
Report tabled: 18/10/2021",Response tabled: 14/5/2024
Review processes associated with visa cancellations made on criminal grounds,Joint Standing Committee on Migration,"Report presented: 27/2/2019
Report tabled: 2/4/2019","Response presented: 9/5/2024
Response tabled: 14/5/2024"
Scrutiny of Government Budget Measures,Select Committee into the Scrutiny of Government Budget Measures,"Abbott Government's Budget Cuts - Select Committee - First interim report
Report presented: 4/2/2015
Report tabled: 9/2/2015
Second interim report
Report presented: 29/4/2016
Report tabled: 2/5/2016
Third interim report
Report tabled: 3/5/2016
Fourth interim report
Report tabled: 3/5/2016","First interim report
Response tabled: 4/2/2016
Third interim report
Response presented: 3/4/2017
Response tabled: 9/5/2017
Fourth interim report
Response presented: 2/5/2024
Response tabled: 14/5/2024
Second interim report
Response presented: 7/6/2024
Response tabled: 24/6/2024"
Select Committee into the Political Influence of Donations,Select Committee into the Political Influence of Donations,"Report presented: 6/6/2018
Report tabled: 18/6/2018",Response tabled: 14/5/2024
Select Committee on Australia's Disaster Resilience,Select Committee on Australia’s Disaster Resilience,"Interim report
Report tabled: 14/9/2023
Boots on the ground: Raising resilience
Report presented: 8/8/2024
Report tabled: 12/8/2024","Boots on the ground: Raising resilience
Response presented: 19/12/2024
Response tabled: 4/2/2025"
Select Committee on Lending to Primary Production Customers,Select Committee on Lending to Primary Production Customers,Report tabled: 6/12/2017,Response tabled: 13/8/2024
Select Committee on Work and Care,Select Committee on Work and Care,"Interim report
Report presented: 18/10/2022
Report tabled: 25/10/2022
Final report
Report tabled: 9/3/2023","Interim and Final reports
Response tabled: 27/6/2024"
"Serious allegations of abuse, self-harm and neglect of asylum seekers in relation to the Nauru Regional Processing Centre, and any like allegations in relation to the Manus Regional Processing Centre",Legal and Constitutional Affairs References Committee,"Report presented: 21/4/2017
Report tabled: 9/5/2017","Response presented: 17/5/2024
Response tabled: 24/6/2024"
Social Security Legislation Amendment (Streamlined Participation Requirements and Other Measures) Bill 2021 [Provisions],Education and Employment Legislation Committee,"Report presented: 18/6/2021
Report tabled: 21/6/2021","Response presented: 10/5/2024
Response tabled: 14/5/2024"
Staff employed under the Members of Parliament (Staff) Act 1984,Finance and Public Administration References Committee,Report tabled: 16/10/2003,"Response presented: 20/6/2024
Response tabled: 24/6/2024"
Sterling Income Trust,Economics References Committee,"Report presented: 4/2/2022
Report tabled: 8/2/2022",Response tabled: 13/8/2024
Strengthening Australia’s relationships with countries in the Pacific region,"Joint Standing Committee on Foreign Affairs, Defence and Trade",Report tabled: 30/3/2022,Response tabled: 14/5/2024
Strengthening Multiculturalism,Select Committee on Strengthening Multiculturalism,"Ways of protecting and strengthening Australia's multiculturalism and social inclusion―Final report
Report tabled: 17/8/2017","Response presented: 9/5/2024
Response tabled: 14/5/2024"
Superannuation (Objective) Bill 2016,Economics Legislation Committee,Report tabled: 14/2/2017,Response tabled: 13/8/2024
Superannuation Guarantee non-payment,Economics References Committee,"Superbad - Wage theft and non-compliance of the Superannuation Guarantee
Report presented: 2/5/2017
Report tabled: 9/5/2017",Response tabled: 13/8/2024
Temporary Migration,Select Committee on Temporary Migration,Report tabled: 1/9/2021,"Response presented: 9/5/2024
Response tabled: 14/5/2024"
Threat of marine plastic pollution in Australia,Environment and Communications References Committee,"Toxic tide
Report presented: 20/4/2016
Report tabled: 2/5/2016","Response presented: 23/5/2024
Response tabled: 24/6/2024"
Tobacco Harm Reduction,Select Committee on Tobacco Harm Reduction,"Report presented: 18/12/2020
Report tabled: 2/2/2021","Response presented: 3/10/2024
Response tabled: 8/10/2024"
Trade in elephant ivory and rhino horn,Parliamentary Joint Committee on Law Enforcement,Report tabled: 20/9/2018,"Response presented: 23/5/2024
Response tabled: 24/6/2024"
Transition from the Australian Defence Force (ADF),"Joint Standing Committee on Foreign Affairs, Defence and Trade",Report tabled: 3/4/2019,"Response presented: 10/5/2024
Response tabled: 14/5/2024"
Treasury Laws Amendment (Consumer Data Right) Bill 2022,Economics Legislation Committee,"Report presented: 3/5/2023
Report tabled: 9/5/2023","Response presented: 19/12/2024
Response tabled: 4/2/2025"
Treasury Laws Amendment (Cyclone and Flood Damage Reinsurance Pool) Bill 2022,Economics Legislation Committee,"Report presented: 24/3/2022
Report tabled: 28/3/2022",Response tabled: 13/8/2024
Treasury Laws Amendment (Delivering Better Financial Outcomes and Other Measures) Bill 2024 [Provisions],Economics Legislation Committee,"Report presented: 21/6/2024
Report tabled: 24/6/2024","Response presented: 14/11/2024
Response tabled: 18/11/2024"
Treasury Laws Amendment (Making Multinationals Pay Their Fair Share-Integrity and Transparency) Bill 2023 [Provisions],Economics Legislation Committee,"Report presented: 22/9/2023
Report tabled: 16/10/2023","Response presented: 7/6/2024
Response tabled: 24/6/2024"
Treasury Laws Amendment (News Media and Digital Platforms Mandatory Bargaining Code) Bill 2020,Economics Legislation Committee,"Report presented: 12/2/2021
Report tabled: 15/2/2021",Response tabled: 13/8/2024
Treasury Laws Amendment (Reducing Pressure on Housing Affordability Measures (No.2) Bill 2018 and Foreign Acquisitions and Takeovers Fees Imposition Amendment (Near-new Dwelling Interests) Bill 2018,Economics Legislation Committee,"Report presented: 23/3/2018
Report tabled: 26/3/2018",Response tabled: 13/8/2024
Treasury Laws Amendment (Research and Development Tax Incentive) Bill 2019,Economics Legislation Committee,"Report presented: 12/10/2020
Report tabled: 9/11/2020",Response tabled: 13/8/2024
Treasury Laws Amendment (Self Managed Superannuation Funds) Bill 2020,Economics Legislation Committee,"Report presented: 4/11/2020
Report tabled: 9/11/2020",Response tabled: 13/8/2024
Unconventional Gas Mining,Select Committee on Unconventional Gas Mining,"Interim report
Report tabled: 4/5/2016","Response presented: 20/6/2024
Response tabled: 24/6/2024"
Vaccine related fraud and security risks,Parliamentary Joint Committee on Law Enforcement,"Interim report
Report tabled: 31/8/2021
Final report
Report tabled: 29/3/2022","Interim and final reports
Response presented: 11/7/2024
Response tabled: 12/8/2024"
"Veterans' Entitlements, Treatment and Support (Simplification and Harmonisation) Bill 2024 [Provisions]","Foreign Affairs, Defence and Trade Legislation Committee","Report presented: 3/10/2024
Report tabled: 8/10/2024","Response presented: 7/11/2024
Response tabled: 18/11/2024"
Waste and recycling industry in Australia,Environment and Communications References Committee,"Never waste a crisis: the waste and recycling industry in Australia
Report tabled: 26/6/2018","Response presented: 23/5/2024
Response tabled: 24/6/2024"
Water Amendment (Purchase Limit Repeal) Bill 2019,Environment and Communications Legislation Committee,"Water Amendment (Purchase Limit Repeal) Bill 2019
Report presented: 26/3/2019
Report tabled: 2/4/2019","Response presented: 23/5/2024
Response tabled: 24/6/2024"
Water Legislation Amendment (Inspector-General of Water Compliance and Other Measures) Act 2021,Rural and Regional Affairs and Transport References Committee,"Interim report
Report presented: 30/9/2021
Report tabled: 18/10/2021
Final report
Report tabled: 2/12/2021","Final report
Response presented: 23/5/2024
Response tabled: 24/6/2024"
Water use by the extractive industry,Environment and Communications References Committee,Report tabled: 17/10/2018,"Response presented: 23/5/2024
Response tabled: 24/6/2024"
Working Holiday Maker program,Joint Standing Committee on Migration,Report tabled: 1/12/2020,"Response presented: 9/5/2024
Response tabled: 14/5/2024"
Worsening rental crisis in Australia,Community Affairs References Committee,"Interim report
Report presented: 21/9/2023
Final report
Report tabled: 7/12/2023","Interim and final reports
Response tabled: 14/5/2024"
