inquiry,committee,report,response
Review of the Defence Amendment (Safeguarding Australia’s Military Secrets) Bill 2023,Parliamentary Joint Committee on Intelligence and Security,"Advisory report
Report presented: 14/3/2024
Report tabled: 18/3/2024","Response presented: 30/4/2026
Response tabled: 12/5/2026"
"Review of the Exposure Draft Legislation: Combatting Antisemitism, Hate and Extremism Bill 2026",Parliamentary Joint Committee on Intelligence and Security,"Report presented: 20/1/2026
Report tabled: 3/2/2026",Response tabled: 30/6/2026
Review of the Intelligence Oversight and Other Legislation Amendment (Integrity Measures) Bill 2020,Parliamentary Joint Committee on Intelligence and Security,Report tabled: 9/2/2022,"Response presented: 19/3/2026
Response tabled: 23/3/2026"
Review of the listing and re-listing of eight organisations as terrorist organisations under the Criminal Code,Parliamentary Joint Committee on Intelligence and Security,Report tabled: 26/9/2022,Response tabled: 13/5/2026
Review of the listing of the Islamic Revolutionary Guard Corps as a state sponsor of terrorism under the Criminal Code,Parliamentary Joint Committee on Intelligence and Security,Report tabled: 12/3/2026,Response tabled: 1/7/2026
Review of the operation of the amendments made by the Autonomous Sanctions Amendment (Magnitsky-style and Other Thematic Sanctions) Act 2021,"Joint Standing Committee on Foreign Affairs, Defence and Trade",Report tabled: 25/3/2025,Response tabled: 30/6/2026
Review of the Royal Commissions Legislation Amendment (Protections for Providing Information) Bill 2026,Parliamentary Joint Committee on Intelligence and Security,"Advisory report
Report tabled: 12/3/2026",Response tabled: 31/3/2026
Right wing extremist movements in Australia,Legal and Constitutional Affairs References Committee,"Report presented: 6/12/2024
Report tabled: 4/2/2025",Response tabled: 31/3/2026
Safeguard Mechanism (Crediting) Amendment Bill 2022,Environment and Communications Legislation Committee,Report tabled: 6/3/2023,"Response presented: 29/5/2026
Response tabled: 22/6/2026"
Scams Prevention Framework Bill 2024,Economics Legislation Committee,"Report presented: 3/2/2025
Report tabled: 4/2/2025","Response presented: 29/5/2026
Response tabled: 22/6/2026"
Select Committee on a National Integrity Commission,Select Committee on a National Integrity Commission,Report tabled: 13/9/2017,"Response presented: 19/3/2026
Response tabled: 23/3/2026"
Select Committee on Adopting Artificial Intelligence (AI),Select Committee on Adopting Artificial Intelligence,"Interim report
Report tabled: 10/10/2024
Final report
Report tabled: 26/11/2024","Final and interim report
Response tabled: 1/4/2026"
Select Committee on Energy Planning and Regulation in Australia,Select Committee on Energy Planning and Regulation in Australia,"Report presented: 20/12/2024
Report tabled: 4/2/2025","Response presented: 18/6/2026
Response tabled: 22/6/2026"
Select Committee on Regional and Remote Indigenous Communities,Select Committee on Regional and Remote Indigenous Communities,"Final report
Report presented: 24/9/2010
Report tabled: 28/9/2010",Response tabled: 1/4/2026
Select Committee on the Tasmanian Freight Equalisation Scheme,Select Committee on the Tasmanian Freight Equalisation Scheme,"Report presented: 19/12/2024
Report tabled: 4/2/2025","Response presented: 2/4/2026
Response tabled: 12/5/2026"
Senate Select Committee on Supermarket Prices,Select Committee on Supermarket Prices,"Competition and Consumer Amendment (Divestiture Powers) Bill 2024
Report presented: 7/5/2024
Report tabled: 14/5/2024","Response presented: 29/5/2026
Response tabled: 22/6/2026"
Sex Discrimination Amendment (Removing Discrimination Against Students) Bill 2018,Legal and Constitutional Affairs Legislation Committee,Report tabled: 14/2/2019,"Response presented: 19/3/2026
Response tabled: 23/3/2026"
Social Media (Anti-Trolling) Bill 2022,Legal and Constitutional Affairs Legislation Committee,"Report presented: 24/3/2022
Report tabled: 28/3/2022","Response presented: 19/3/2026
Response tabled: 23/3/2026"
Social Security Legislation Amendment (Remote Engagement Program) Bill 2021,Finance and Public Administration Legislation Committee,"Report presented: 14/10/2021
Report tabled: 18/10/2021",Response tabled: 1/4/2026
"State of Australia’s aviation sector and its ability to deliver reliable and affordable services to rural, regional and remote communities",Rural and Regional Affairs and Transport References Committee,"Qantas' decision to close regional bases in Canberra, Hobart and Mildura - interim report
Report presented: 18/2/2026
Report tabled: 2/3/2026",Response tabled: 25/6/2026
Status of the human right to freedom of religion or belief,"Joint Standing Committee on Foreign Affairs, Defence and Trade","Legal foundations of religious freedom in Australia - First interim report
Report tabled: 30/11/2017
Freedom of religion and belief, the Australian experience - Second interim report
Report tabled: 3/4/2019","Second interim report
Response presented: 19/3/2026
Response tabled: 23/3/2026"
Strategic effectiveness and outcomes of Australia's aid program in the Indo-Pacific and its role in supporting Australia’s regional interests,"Joint Standing Committee on Foreign Affairs, Defence and Trade","Australia's aid program in the Indo-Paficic - First report
Report tabled: 3/4/2019",Response tabled: 14/5/2026
Superannuation (Objective) Bill 2023,Economics Legislation Committee,"Report presented: 28/3/2024
Report tabled: 14/5/2024",Response tabled: 31/3/2026
Supporting the development of sovereign capability in the Australian tech sector,Finance and Public Administration References Committee,"Report presented: 28/6/2024
Report tabled: 1/7/2024","Response presented: 26/2/2026
Response tabled: 2/3/2026"
Tax Laws Amendment (Incentivising Food Donations to Charitable Organisations) Bill 2024,Economics Legislation Committee,"Report presented: 15/11/2024
Report tabled: 18/11/2024",Response tabled: 31/3/2026
Treasury Laws Amendment (2021 Measures No. 1) Bill 2021,Economics Legislation Committee,"Report presented: 12/3/2021
Report tabled: 15/3/2021",Response tabled: 25/6/2026
Treasury Laws Amendment (2023 Measures No. 1) Bill 2023,Economics Legislation Committee,"Report presented: 2/6/2023
Report tabled: 13/6/2023",Response tabled: 31/3/2026
Treasury Laws Amendment (Better Targeted Superannuation Concessions and Other Measures) Bill 2023 [Provisions] and Superannuation (Better Targeted Superannuation Concessions) Imposition Bill 2023 [Provisions],Economics Legislation Committee,"Report presented: 10/5/2024
Report tabled: 14/5/2024","Response presented: 9/4/2026
Response tabled: 12/5/2026"
Treasury Laws Amendment (Fairer for Families and Farmers and Other Measures) Bill 2024,Economics Legislation Committee,"Report presented: 31/1/2025
Report tabled: 4/2/2025","Response presented: 29/5/2026
Response tabled: 22/6/2026"
Treasury Laws Amendment (Financial Market Infrastructure and Other Measures) Bill 2024 [Provisions],Economics Legislation Committee,"Report presented: 3/5/2024
Report tabled: 14/5/2024",Response tabled: 25/6/2026
Treasury Laws Amendment (Mergers and Acquisitions Reform) Bill 2024 [provisions],Economics Legislation Committee,"Report presented: 15/11/2024
Report tabled: 18/11/2024",Response tabled: 12/3/2026
Treasury Laws Amendment (Responsible Buy Now Pay Later and Other Measures) Bill 2024,Economics Legislation Committee,"Report presented: 2/8/2024
Report tabled: 12/8/2024",Response tabled: 5/2/2026
Treasury Laws Amendment (Strengthening Financial Systems and Other Measures) Bill 2025,Economics Legislation Committee,"Report presented: 19/11/2025
Report tabled: 24/11/2025","Response presented: 19/2/2026
Response tabled: 2/3/2026"
Treasury Laws Amendment (Support for Small Business and Charities and Other Measures) Bill 2023 [Provisions],Economics Legislation Committee,"Report presented: 24/11/2023
Report tabled: 27/11/2023","Response presented: 23/4/2026
Response tabled: 12/5/2026"
Treasury Laws Amendment (Supporting Choice in Superannuation and Other Measures) Bill 2025,Economics Legislation Committee,Report tabled: 4/3/2026,Response tabled: 23/6/2026
Treasury Laws Amendment (Tax Accountability and Fairness) Bill 2023 [Provisions],Economics Legislation Committee,"Report presented: 10/5/2024
Report tabled: 14/5/2024","Response presented: 4/6/2026
Response tabled: 22/6/2026"
United Nations Sustainable Development Goals (SDG),"Foreign Affairs, Defence and Trade References Committee",Report tabled: 14/2/2019,Response tabled: 1/4/2026
Universities Accord (Australian Tertiary Education Commission) Bill 2025 and the Universities Accord (Australian Tertiary Education Commission) (Consequential and Transitional Provisions) Bill 2025,Education and Employment Legislation Committee,"Report presented: 27/2/2026
Report tabled: 2/3/2026",Response tabled: 12/5/2026
Universities Accord (Student Support and Other Measures) Bill 2024,Education and Employment Legislation Committee,"Report presented: 3/10/2024
Report tabled: 8/10/2024","Response presented: 7/5/2026
Response tabled: 12/5/2026"
Water Amendment (Restoring Our Rivers) Bill 2023 [Provisions],Environment and Communications Legislation Committee,Report tabled: 10/11/2023,"Response presented: 21/5/2026
Response tabled: 22/6/2026"
Whistleblower Protection Authority Bill 2025,Legal and Constitutional Affairs Legislation Committee,"Report presented: 29/8/2025
Report tabled: 1/9/2025","Response presented: 2/4/2026
Response tabled: 12/5/2026"
Wholesale investor and wholesale client tests,Parliamentary Joint Committee on Corporations and Financial Services,Report tabled: 13/2/2025,Response tabled: 31/3/2026
Wrongful detention of Australian citizens overseas,"Foreign Affairs, Defence and Trade References Committee",Report tabled: 28/11/2024,Response tabled: 23/6/2026
